MONTH,,AMOUNT,,ENACH,NACH,UPI,TOTAL AMOUNT OF ECS,,NO OF NACH,NO OF UPI,NO OF ENACH,TOTAL NO OF ECS
,,,,,,,,,,,,
APRIL,,448544,,38340,2860,,41200,,4,,42,46
MAY,,459604,,47940,11000,,58940,,16,,52,68
JUNE,,501524,,32520,7810,,40330,,11,,32,43
JULY,,526494,,41600,4290,,45890,,7,,28,35
AUG,,541114,,49970,6050,,56020,,5,,49,54
SEPT,,582374,,63820,,,63820,,,,48,48
OCT,,621860,,43450,1430,,44880,,3,,26,29
NOV,,645140,,72220,2860,,75080,,2,,52,54
DEC,,643670,,18370,5830,39490,63690,,3,48,20,71
JAN,,644410,,59880,6380,23940,90200,,2,29,33,64
FEB,,689810,,48830,2640,20690,72160,,3,21,41,65
MARCH,,746740,,77420,3960,4950,86330,,3,4,65,72
APRIL,,,,54980,14240,,69220,,17,,40,57
